Station,River,Location,Easting,Northing,Area,ALTBAR,BFI,PROPWET,SAAR,QMED,Ireland
27089,Wharfe,Tadcaster,447700,444150,815.35,258,0.416,0.41,1130,210.337,FALSE
27090,Swale,Catterick Bridge,422600,499350,497.56,358,0.381,0.61,1123,306.276,FALSE
27092,Esk,Briggswath,487350,508250,325.27,222,0.349,0.4,877,150.7,FALSE
27094,Wiske,Romanby Viewly Bridge,435100,492100,158.21,62,0.367,0.34,637,13.05,FALSE
27095,Pickering Beck,Pickering,479650,484150,66.2,169,0.688,0.4,837,8.261,FALSE
27096,Wharfe,Netherside Hall,398500,465000,215.18,422,0.386,0.62,1583,214.969,FALSE
27097,Aire,Bingley,410400,439500,464.78,240,0.379,0.62,1124,100.437,FALSE
27098,Calder,Dewsbury,424300,421450,715.75,249,0.52,0.51,1141,259.3565,FALSE
27099,Derwent,Malton A64 Road Bridge,481200,473100,1382.89,138,0.611,0.35,779,67.055,FALSE
28002,Blithe,Hamstall Ridware,410900,319150,162.11,150,0.464,0.43,782,17.52,FALSE
28003,Tame,Water Orton,416900,291450,405.6,144,0.497,0.31,726,78.8,FALSE
28008,Dove,Rocester Weir,411250,339650,397.97,270,0.555,0.41,1022,85.4795,FALSE
28009,Trent,Colwick,462050,339900,7466.4,142,0.505,0.31,760,426.233,FALSE
28010,Derwent,Longbridge Weir,435600,336350,1051.75,259,0.55,0.39,1012,142.703,FALSE
28011,Derwent,Matlock Bath,429700,358600,687.19,311,0.565,0.41,1114,113.921,FALSE
28015,Idle,Mattersey,469000,389500,528.18,77,0.787,0.27,650,9.86,FALSE
28018,Dove,Marston on Dove,423700,328800,884.07,217,0.528,0.42,935,112.589,FALSE
28019,Trent,Drakelow Park,423900,320400,3066.71,120,0.512,0.31,707,176.161,FALSE
28022,Trent,North Muskham,480450,360500,8209.42,134,0.502,0.3,747,434.251,FALSE
28023,Wye,Ashford,418200,369700,152.28,340,0.678,0.52,1165,16.37,FALSE
28024,Wreake,Syston Mill,461500,312450,417.01,117,0.403,0.28,634,34.45,FALSE
28026,Anker,Polesworth,426250,303350,371.58,108,0.446,0.3,653,49.1945,FALSE
28027,Erewash,Sandiacre,448250,336400,183.7,100,0.409,0.35,708,17.228,FALSE
28031,Manifold,Ilam,414000,350700,148.15,308,0.455,0.44,1098,66.58,FALSE
